"PC1","PC2","group","name","Filename","Cell","Type","Condition","Comparison","TypeII","sizeFactor","Sample"
-56.2148626944192,-23.747079008131,"Control:WI_38","SRR9016163","SRR9016163","WI_38","Dox_minus","Control","5","Control",0.640579078887678,"SRR9016163"
-60.2579539535814,-22.7646015433956,"Control:WI_38","SRR9016164","SRR9016164","WI_38","Dox_minus","Control","5","Control",0.644565456984798,"SRR9016164"
-43.3956779422658,27.4038322110824,"Senescent:WI_38","SRR9016165","SRR9016165","WI_38","Dox","Senescent","5","Dox",0.541104583276128,"SRR9016165"
-42.482829110511,27.2358319205491,"Senescent:WI_38","SRR9016166","SRR9016166","WI_38","Dox","Senescent","5","Dox",0.690179127230138,"SRR9016166"
45.8559300502172,-11.9406949588628,"Control:WI_38","SRR9016171","SRR9016171","WI_38","Dox_minus","Control","5","Control",1.4429996019641,"SRR9016171"
52.8853910637958,-14.1448218152726,"Control:WI_38","SRR9016172","SRR9016172","WI_38","Dox_minus","Control","5","Control",1.64627736579004,"SRR9016172"
53.2706525469827,10.6476658076604,"Senescent:WI_38","SRR9016173","SRR9016173","WI_38","Dox","Senescent","5","Dox",1.73984508938524,"SRR9016173"
50.3393500397814,7.30986738637018,"Senescent:WI_38","SRR9016174","SRR9016174","WI_38","Dox","Senescent","5","Dox",1.78146740073464,"SRR9016174"
