"PC1","PC2","group","name","Filename","Cell","Type","Condition","Comparison","TypeII","sizeFactor","Sample"
-25.2474911046758,4.52526888347559,"Control:IMR_90","SRR9016157","SRR9016157","IMR_90","PDL15","Control","3_4","Control",1.05224332794655,"SRR9016157"
-24.5125603561335,-4.6310364291991,"Control:IMR_90","SRR9016158","SRR9016158","IMR_90","PDL15","Control","3_4","Control",0.970558459050996,"SRR9016158"
25.1381834275358,-3.6238870159215,"Senescent:IMR_90","SRR9016161","SRR9016161","IMR_90","PDL52","Senescent","4","Replicative_Exhaustion",1.0651698938375,"SRR9016161"
24.6218680332735,3.72965456164502,"Senescent:IMR_90","SRR9016162","SRR9016162","IMR_90","PDL52","Senescent","4","Replicative_Exhaustion",0.944341384115063,"SRR9016162"
