"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","ID","Description","p.adjust","setSize"
"GO:0032870",0.827242524916944,0.900446636755714,0.0793434960134973,0.269328895570627,0.790575929456316,27,"IGFBP7;SLIT2","GO:0032870","cellular response to hormone stimulus",0.900446636755714,27
"GO:0060716",0.828238719068413,0.900745680101842,0.03975964750879,-0.305951877250345,-0.721884842305355,18,"TMED2;NSDHL;AKT1;MAPK1;GGNBP2","GO:0060716","labyrinthine layer blood vessel development",0.900745680101842,18
"GO:0071347",0.828146143437077,0.900745680101842,0.0363783055518278,-0.273933240028052,-0.77308372550128,46,"AKAP12;ANKRD1;RBMX;CXCL8;USP10;ADAMTS12;CACTIN","GO:0071347","cellular response to interleukin-1",0.900745680101842,46
"GO:0060322",0.82934131736527,0.901151250496229,0.0738052724171275,0.284910254707488,0.73870095466358,15,"LDB1;PGAP1;WDR11","GO:0060322","head development",0.901151250496229,15
"GO:0099560",0.829694323144105,0.901151250496229,0.0396787203613389,-0.304982695207836,-0.719598084557014,18,"PTPRD;PCDH17","GO:0099560","synaptic membrane adhesion",0.901151250496229,18
"GO:1990573",0.829376854599407,0.901151250496229,0.0405756447890657,-0.300047398565491,-0.724422833789114,21,"ATP1B1;ATP1B3","GO:1990573","potassium ion import across plasma membrane",0.901151250496229,21
"GO:0030032",0.830056179775281,0.90115229604299,0.0380056241581377,-0.288805321833546,-0.76923220148834,34,"CDH13;NUP85;SPATA13;VAV3","GO:0030032","lamellipodium assembly",0.90115229604299,34
"GO:0007266",0.830892143808256,0.901667832720215,0.0354665010333725,-0.269178065933464,-0.784601820361929,56,"CDH13;RACGAP1;ARHGAP29;HACD3;CTNNAL1;ROCK2;LRRK2;ARHGEF1;GNA13;CDC42EP4;CDC42EP3;ARHGDIA","GO:0007266","Rho protein signal transduction",0.901667832720215,56
"GO:0001841",0.8328125,0.902575005425347,0.0427591434738678,-0.349074037954456,-0.71872141271804,10,"NUP50","GO:0001841","neural tube formation",0.902575005425347,10
"GO:0002052",0.832352941176471,0.902575005425347,0.0400031517498194,-0.298181723912116,-0.717479476555125,20,"ASPM;FZD3;WDR62","GO:0002052","positive regulation of neuroblast proliferation",0.902575005425347,20
"GO:0048266",0.832550860719875,0.902575005425347,0.042845050912155,-0.340608425327504,-0.726227320970267,12,"CAPN2;AKT1","GO:0048266","behavioral response to pain",0.902575005425347,12
"GO:0015718",0.834108527131783,0.903587415292001,0.042331839351853,-0.342101345273977,-0.721298981590005,11,"SLC16A7;SLC16A2;SLC16A6;SLC16A1;SLC16A3","GO:0015718","monocarboxylic acid transport",0.903587415292001,11
"GO:0001934",0.838274932614555,0.905773034903804,0.0356176233437444,-0.271629272190436,-0.77869121599365,51,"PLAUR;BMP2;FLT4;KDR;XBP1;NIBAN1;SIRT1;CDK2AP1;PPIA;CIB1;PTK2;MYDGF;STK4","GO:0001934","positive regulation of protein phosphorylation",0.905773034903804,51
"GO:0006958",0.840059790732436,0.905773034903804,0.0403295396423143,-0.3173634730996,-0.722126284461051,16,"C1QBP;CD55;CLU","GO:0006958","complement activation, classical pathway",0.905773034903804,16
"GO:0014033",0.839779005524862,0.905773034903804,0.069119845655101,0.310941685405438,0.708518578803993,10,"EDN1;OTUD5;FBXL17","GO:0014033","neural crest cell differentiation",0.905773034903804,10
"GO:0016339",0.83982683982684,0.905773034903804,0.0387166740042594,-0.287321736076205,-0.738847082810592,29,"CDH13;CDH11","GO:0016339","calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules",0.905773034903804,29
"GO:0030865",0.839779005524862,0.905773034903804,0.069119845655101,0.316493185548054,0.721168349406951,10,"RHOBTB1;EPB41L3;RAC2","GO:0030865","cortical cytoskeleton organization",0.905773034903804,10
"GO:0031643",0.840116279069767,0.905773034903804,0.0716527366829457,0.286043319691738,0.721837099692795,14,"WASF3;RNF10;TNFRSF1B;ITGAX;NRDC","GO:0031643","positive regulation of myelination",0.905773034903804,14
"GO:0035249",0.839869281045752,0.905773034903804,0.0776798560117236,0.262153096497762,0.766454916389805,24,"CLSTN3;CLCN3;CDK5;CNIH3;GRIN3B;GRIN2D;GRIN2B;GRIK4;NAPA;TNR;CNIH2","GO:0035249","synaptic transmission, glutamatergic",0.905773034903804,24
"GO:0042573",0.8390625,0.905773034903804,0.0424170054438747,-0.345833796311604,-0.712049959679754,10,"ALDH1A2","GO:0042573","retinoic acid metabolic process",0.905773034903804,10
"GO:0043583",0.839779005524862,0.905773034903804,0.069119845655101,0.312021739597181,0.710979614094154,10,"BCL2L11;DDR1;RDH10;SHROOM2;GATA3","GO:0043583","ear development",0.905773034903804,10
"GO:0044458",0.838662790697674,0.905773034903804,0.0391155247681459,-0.294325613423862,-0.724390234225638,23,"E2F4;DYNLL1;IFT57","GO:0044458","motile cilium assembly",0.905773034903804,23
"GO:0070294",0.839820359281437,0.905773034903804,0.0404114482034376,-0.314995220638583,-0.711925697902063,15,"SGK1;STK39;RBX1;WNK3;CUL3","GO:0070294","renal sodium ion absorption",0.905773034903804,15
"GO:0000288",0.844776119402985,0.907587460245343,0.0400031517498194,-0.30870135120127,-0.710643617357863,17,"PDE12;DIS3;DCP2;NT5C3B;CNOT7","GO:0000288","nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay",0.907587460245343,17
"GO:0006641",0.843853820598007,0.907587460245343,0.0782955249944794,0.262251691203409,0.767466100653536,26,"CPT1A;CAT;GPX1;SEL1L;APOE","GO:0006641","triglyceride metabolic process",0.907587460245343,26
"GO:0042391",0.844444444444444,0.907587460245343,0.0366850427613443,-0.278406326081255,-0.766063361013815,41,"PIEZO2;SLC39A8;KIF5B","GO:0042391","regulation of membrane potential",0.907587460245343,41
"GO:0043249",0.844984802431611,0.907587460245343,0.0408229003677776,-0.3209198887879,-0.713555750044254,14,"HEATR3;NEMP1;FLVCR1;MAEA","GO:0043249","erythrocyte maturation",0.907587460245343,14
"GO:0045765",0.845070422535211,0.907587460245343,0.0373029764832679,-0.282089635331518,-0.752862179472679,35,"TNFRSF12A;EMP2;ETS1","GO:0045765","regulation of angiogenesis",0.907587460245343,35
"GO:0061512",0.844950213371266,0.907587460245343,0.037770500132479,-0.283773278097382,-0.769119207731303,39,"TUB;CEP78;ATP6V1D;EHD1;AKT1;RAB8A;ARF4;MICALL1","GO:0061512","protein localization to cilium",0.907587460245343,39
"GO:0090331",0.843410852713178,0.907587460245343,0.0418238690062304,-0.335989498753192,-0.708412540972397,11,"ADAMTS18;TMX1;SERPINE2","GO:0090331","negative regulation of platelet aggregation",0.907587460245343,11
"GO:1903377",0.843410852713178,0.907587460245343,0.0418238690062304,-0.337069317441858,-0.710689270167406,11,"PARK7;FZD1;ATF4;PYCR1;NONO","GO:1903377","negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway",0.907587460245343,11
"GO:2000059",0.843023255813954,0.907587460245343,0.038875878582578,-0.291632078613791,-0.717760942641857,23,"USP14;RBX1;PDCL3;SGTA;PRMT6;RPS7;RPL11;RPL23;RPL5;QRICH2;TAF1","GO:2000059","negative regulation of ubiquitin-dependent protein catabolic process",0.907587460245343,23
"GO:0031123",0.848200312989045,0.909384363045791,0.0419926218968594,-0.331654037332558,-0.707135247137258,12,"TENT4B;TENT4A;MTPAP","GO:0031123","RNA 3'-end processing",0.909384363045791,12
"GO:0034498",0.848200312989045,0.909384363045791,0.0419926218968594,-0.33208509710537,-0.708054330050976,12,"RBSN;ARL8B;TRAPPC10;RAB14;RAB6A","GO:0034498","early endosome to Golgi transport",0.909384363045791,12
"GO:0051928",0.847305389221557,0.909384363045791,0.0400031517498194,-0.311488688080199,-0.704000528009698,15,"HOMER1;CRACR2A;WNK3;STIM2;CREB3;ATP2B1;ORAI1","GO:0051928","positive regulation of calcium ion transport",0.909384363045791,15
