"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","ID","Description","p.adjust","setSize"
"GO:0007059",1e-10,1.29894736842105e-08,NA,-0.833501929399229,-2.52173893813453,107,"TOP2A;CENPF;KNL1;MKI67;CENPE;HJURP;BUB1;NDC80;BRCA1;KIF2C;DLGAP5;TTK;CENPI;SPC24;ESCO2;CDCA2;BIRC5;NUF2;CENPU;CENPK;SKA1;SKA3;ESPL1;SPAG5;KNSTRN;NEK2;SGO2;CENPN;DIAPH3;PTTG1;CENPL;SPC25;INCENP;DSN1;BUB3;CENPX;CENPQ;RAD21;MAP3K20;CDK5RAP2;ITGB3BP;SEH1L;MIS18A;RCC1;CEP85;SGO1;CENPM;CENPO;STAG1;CENPH;CENPW;NUP43","GO:0007059","chromosome segregation",1.29894736842105e-08,107
"GO:0007094",1e-10,1.29894736842105e-08,NA,-0.909599016650589,-2.27098758857115,29,"CENPF;ZWINT;BUB1;BUB1B;NDC80;TTK;SPC24;KNTC1;BIRC5;NUF2;MAD2L1;TRIP13;SPDL1;CDC20;SPC25;ZWILCH;BUB3;PLK1;HASPIN","GO:0007094","mitotic spindle assembly checkpoint signaling",1.29894736842105e-08,29
"GO:0007155",1e-10,1.29894736842105e-08,NA,0.500470087535595,2.00568095350587,438,"COL8A1;VWF;RHOB;CDH11;POSTN;IGFBP7;RND3;FLRT2;CADM3;ITGAV;PCDH10;THBS1;CCN2;NUAK1;SELP;PBXIP1;FBLIM1;ITGB8;VCAM1;ITGB3;CCN1;FN1;SRPX2;IL32;AMIGO2;MMRN1;ICAM1;EPHB4;CD9;PVR;PTPRS;FAT4;CDH4;CCL2;ARVCF;EFNB2;NEDD9;CYFIP2;AJUBA;PKP2;CDH24;DCHS1;ADAM23;ACKR3;MMRN2;ALCAM;LGALS3BP;ADAM9;EXT1;HAPLN3;FREM3;DST;ABL2;SELL;PCDHGB4;CD34;TRIP6;NID1;LAMA2;SELE;JUP;DPP4;DDR1;PTPRF;CTNNB1;LDB1;CLSTN3;CELSR1;LAMB1;ZYX;CD36;CLDN5;PCDHGB5;APBA1;CDH5;SDK1;MYH9;F11R;HES1;LPP;CXCL12;INPPL1;B4GALT1;EPHA2;MAGI1;NEGR1;PRKCE;NECTIN2;COL18A1;MPZL2;CD24;PCDHB14;EPHA4;FLOT2;PCDHGA6;CADM4;LAMA4;MYH10;CTNND1;TNR;VCL;ADAM17;MMP24;VMP1;ADAM32;CDH13;PCDHB13;PCDHGB7;APLP1;PCDHB15;JCAD;PCDH19;COL5A1;PCDHGB6;FERMT2;CEACAM1;STAB2;PCDHGB3;PCDHGA4;PARVA;PCDHGA10;ROM1;CD151;PCDHGB2;ADA;ADAM22;ITGBL1;ENG;PIP5K1C;PCDHGA5;PTPRU;PCDHGA8;PSEN1;ITGB4;BCAM;TRO;PCDHB11;PCDHA6;CLDN15;AMIGO1","GO:0007155","cell adhesion",1.29894736842105e-08,438
"GO:0008380",1e-10,1.29894736842105e-08,NA,-0.602554000951856,-2.01027531093787,296,"HSPA8;TRA2B;HNRNPF;ALYREF;SNRPB;DHX9;SRSF1;SRSF7;TTF2;SF3A3;IVNS1ABP;LSM4;EIF4A3;C1QBP;THOC3;SNU13;SRSF2;SNRPD1;DDX23;RBMX;SNRPG;DDX39A;HNRNPR;DHX15;RRP1B;SRSF10;SNRNP40;SYNCRIP;MTREX;PRMT1;HNRNPA2B1;SRSF3;TCERG1;PPIL1;BUD13;SNRPD3;GEMIN5;YBX1;HNRNPH1;PRPF19;NCBP1;PUS7;U2AF2;LSM2;DDX46;PUF60;HNRNPK;THOC6;PHF5A;SF3B3;PRPF4;CDC5L;LSM5;LSM3;HNRNPA3;SART3;MAGOH;WBP11;PUS1;SNRPE;LSM6;HNRNPM;GEMIN2;ZCCHC8;RBM23;RBM28;SRSF9;ZPR1;LSM7;SNRNP200;MBNL3;HTATSF1;PPIH;RBM17;RNPS1;TXNL4A;MAGOHB;EFTUD2;SNRPF;TARDBP;U2AF1;SF3B6;GEMIN4;DDX20;SNRPD2;DCPS;SUGP2;SNRNP48;SRRM1;RSRC1;CELF1;AQR;CCAR2;DHX8;PNN;FUS;PRPF8;HNRNPU;SNRPA1;KHSRP;RBFOX2;USP39;DDX41;PRPF3;RBM8A;THRAP3;HNRNPH3;FRG1;SF3B2;PTBP1;GEMIN6;PRPF38A;DHX16;PRPF31;MFAP1;DHX38;THOC1;SRPK1;SNRPA;SF3A1;CTNNBL1;LARP7;THOC2;PPP1R8;SMN1;MPHOSPH10;SREK1;IWS1;SF3B5;C9orf78;PPIG;RBM25;SMN2;RALY;CACTIN;BCAS2;RBMXL1;SFPQ;SRSF4;TAF15","GO:0008380","RNA splicing",1.29894736842105e-08,296
"GO:0031507",1e-10,1.29894736842105e-08,NA,-0.835406767772067,-2.32242858297586,59,"H2AC11;H2AC13;H2AC18;H2AC12;H2AC19;H2AC8;H2AC4;H2AC21;H2AC16;LMNB1;H2AC6;HELLS;H2AC20;LMNB2;HMGA2;H2AX;UHRF1;H2AZ1;CBX5;HMGB1;EZH2;POLE3;MIS18A;H2AZ2;CBX3;SUV39H1;LMNA;CBX1;EED","GO:0031507","heterochromatin formation",1.29894736842105e-08,59
"GO:0032200",1e-10,1.29894736842105e-08,NA,-0.954208746187425,-2.32125411763681,26,"H3C2;H4C3;H3C10;H4C14;H4C15;H4C8;H4C4;H3C3;H3C8;H4C13;H3C12;H4C2;H4C12;H3C7;H4C11;H3C1;H4C6;H4C1;H4C5;H3C11;H4C9;H3C6;RAD51","GO:0032200","telomere organization",1.29894736842105e-08,26
"GO:0042254",1e-10,1.29894736842105e-08,NA,-0.731735611580222,-2.24560736835669,116,"PRKDC;CUL4B;NOP56;MRTO4;BMS1;EFL1;EBNA1BP2;XPO1;DKC1;C1QBP;SNU13;RRP36;NOL11;GRWD1;TSR1;MDN1;HEATR3;EIF6;XRCC5;WDR43;RRP7A;URB2;NHP2;BRIX1;EMG1;BOP1;HEATR1;AATF;NOP58;WDR12;IMP4;UTP15;FASTKD2;MTERF3;NAT10;GTF3A;NIP7;KRR1;SBDS;DCAF13;PAK1IP1;NPM1;WDR36;DDX56;MYBBP1A;TMA16;PES1;GTPBP4;DDX55;WDR75;RIOK1;AK6;RRS1;ISG20L2;DHX37;FCF1;UTP23;IMP3;RPF2;RPF1;BUD23;PWP1;NOL7;FRG1;GNL3L;NOP14;DHX30;TSR3;FTSJ3;GNL2;SURF6;DROSHA;UTP4;NVL;NOP10;UTP14A;GLUL;RRN3;DDX51;MPHOSPH10","GO:0042254","ribosome biogenesis",1.29894736842105e-08,116
"GO:0051301",1e-10,1.29894736842105e-08,NA,-0.695271075633363,-2.3612797942057,387,"ASPM;ANLN;CCNA2;KIF11;CENPF;NCAPG;KNL1;CENPE;ZWINT;SMC4;KIF23;BUB1;KIF20B;BUB1B;NDC80;CDK1;TPX2;CEP55;KIF2C;HELLS;RACGAP1;SPC24;KNTC1;CDCA5;KIF14;KIFC1;TUBA1B;CDCA2;BIRC5;ECT2;HMGA2;FAM83D;NUF2;NCAPD3;MAD2L1;AURKB;NCAPG2;CDC6;CCNB1;SKA1;FBXO5;SKA3;SMC2;SPAG5;KNSTRN;AURKA;NCAPH;CCND1;SPDL1;CIT;CCNF;UBE2C;MIS18BP1;NEK2;SGO2;SAPCD2;ERCC6L;CKS1B;GPSM2;CDCA8;TACC3;TUBB;CDC7;VRK1;CENPA;PTTG1;SMC1A;CDC20;CKS2;CCNB2;UBE2S;SPC25;INCENP;NCAPD2;DSN1;CKAP5;ZWILCH;BUB3;PIMREG;CCNE2;KIF18B;SMC3;CENPX;CDCA3;CDC25C;ANAPC1;PLK1;RAD21;TIMELESS;MASTL;CDK2;CDC25B;MCMBP;CDC25A;ITGB3BP;RAN;HAUS2;HAUS6;SEH1L;MIS18A;RCC1;SGO1;BORA;SEPTIN6;STAG1;ARPP19;PSRC1;NEDD1;CENPW;NUP43;CDT1;CHEK2;MAPRE1;CLASP2;HAUS8;WEE1;CIB1;HAUS3;RBBP8;CDC27;NUDC;TRIOBP;CNTROB;TIPIN;CCSAP;SAC3D1;OIP5;ANKLE2;PDS5A;PDS5B;RUVBL1;ZW10;SEPTIN7;LIG1;CENPC;SSNA1;TPR;KMT5A;CCNE1;PRC1;ANAPC5;CNTRL;HAUS5;FZR1;ENTR1;ANAPC7;SKA2;MIS12;KLHL42;LRRCC1;USP37;AHCTF1;TXNL4A;E4F1;PPP1CC;REEP4;NDE1;GNAI3;INTS13;PPP1CA;CDC23;INO80;TUBA1C","GO:0051301","cell division",1.29894736842105e-08,387
"GO:0061644",1e-10,1.29894736842105e-08,NA,-0.985247230478249,-2.21508399709945,17,"H4C3;H4C14;H4C15;H4C8;H2BC11;H4C4;H2AC8;H4C13;H2AC4;H4C2;H4C12;H4C11;H4C6;H4C1;H4C5;H4C9;CENPA","GO:0061644","protein localization to CENP-A containing chromatin",1.29894736842105e-08,17
"GO:0007156",1.33842769486762e-10,1.65161977546665e-08,0.826657301178302,0.673549218077684,2.30090107921927,106,"CDH11;CADM3;NEXN;PCDH10;HMCN1;AMIGO2;PVR;FAT4;CDH4;PLXNB2;CDH24;DCHS1;ROBO4;PCDHGB4;CLSTN3;CELSR1;PALLD;PCDHGB5;CDH5;SDK1;NECTIN2;MPZL2;PCDHB14;PCDHGA6;CADM4;CDH13;PCDHB13;PCDHGB7;PCDHB15;PCDH19;PCDHGB6;CEACAM1;PCDHGB3;PCDHGA4;PCDHGA10;PCDHGB2;PCDHGA5;PCDHGA8;TRO;PCDHB11;PCDHA6;AMIGO1;PLXNB3;PCDHGA9;CLSTN2;CDH10;NPTN;PCDHB10;CDH15;PCDHA4;PCDHA10;PCDHGB1;PCDHA9;PCDHGA3;PCDHGA11;PTK7;PCDHGA7;PECAM1;PCDHB8;PCDHB7;CLSTN1;PCDHGA2;PTPRM;ROBO3;PCDH12;PCDHB3;PCDHB12","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules",1.65161977546665e-08,106
