"Gene_name","log2FoldChange","pvalue","padj","Comparison"
"PTMA",-0.86336943750837,9.52152038816348e-54,2.17833361733431e-52,"IMR90_IR"
"GLUL",-0.749560447555623,8.54834454995274e-37,1.30756180990157e-35,"IMR90_IR"
"SLFN11",-0.913097697508091,1.76831929033357e-30,2.22591396504145e-29,"IMR90_IR"
"H1-4",-0.705899962614061,5.78932146864151e-18,4.62829138891275e-17,"IMR90_IR"
"CBX2",-1.39587522566156,1.77439150098578e-12,1.06606730543585e-11,"IMR90_IR"
"H3C11",-0.921516007757251,5.37128663891367e-12,3.13151928010693e-11,"IMR90_IR"
"PHB2",-0.413184088655006,1.00004891540243e-11,5.73493016355025e-11,"IMR90_IR"
"CDKN2C",-0.741838426720776,2.26749852628761e-11,1.26945803719008e-10,"IMR90_IR"
"ITPRIPL1",-1.56645941065582,3.24261569635299e-11,1.80056272847617e-10,"IMR90_IR"
"CDCA7L",-0.593252034565651,3.96914840595695e-10,2.0545368058307e-09,"IMR90_IR"
"NIBAN1",-0.513965889789754,3.75594495384342e-09,1.80892992964075e-08,"IMR90_IR"
"VSIG10",-0.666651389592215,2.30896582917115e-08,1.04983448238908e-07,"IMR90_IR"
"H1-1",-0.665010838571214,1.394084788618e-06,5.40565342327032e-06,"IMR90_IR"
"HNRNPH1",-0.240294308279135,1.20675818895153e-05,4.252130940682e-05,"IMR90_IR"
"PARP1",-0.284472286458886,1.52531584144419e-05,5.32418614683202e-05,"IMR90_IR"
"H1-3",-0.350500596569825,3.03315730253399e-05,0.000102232768634517,"IMR90_IR"
"EML4",-0.262535973499832,7.99239460224956e-05,0.000256601334385516,"IMR90_IR"
"H2AC20",-0.451732618030549,0.0038945245632564,0.00975105098806921,"IMR90_IR"
"LIG3",-0.253588611382861,0.00477858525155865,0.0117934493628104,"IMR90_IR"
"H2BC9",-0.246248624741849,0.0171790405677907,0.0375905944655002,"IMR90_IR"
"SLFN11",-1.3573292514279,2.86489062823057e-39,7.25085046970966e-38,"IMR90_RE"
