"PC1","PC2","group","name","Filename","Cell","Type","Condition","Comparison","TypeII","sizeFactor","Sample"
-6.4208959526661,1.05677388709138,"Control:HUVEC","SRR9016151","SRR9016151","HUVEC","IR_minus","Control","2","Control",1.14353825164821,"SRR9016151"
-6.31099269980944,-3.69076827744643,"Control:HUVEC","SRR9016152","SRR9016152","HUVEC","IR_minus","Control","2","Control",0.962123029313773,"SRR9016152"
-7.5119688124017,2.46696742508607,"Control:HUVEC","SRR9016153","SRR9016153","HUVEC","IR_minus","Control","2","Control",1.08365174358194,"SRR9016153"
6.60049078070244,0.219910634284697,"Senescent:HUVEC","SRR9016154","SRR9016154","HUVEC","IR","Senescent","2","IR",1.09465650331187,"SRR9016154"
6.61223671293906,-2.25623042296511,"Senescent:HUVEC","SRR9016155","SRR9016155","HUVEC","IR","Senescent","2","IR",0.916998529146392,"SRR9016155"
7.03112997123572,2.20334675394939,"Senescent:HUVEC","SRR9016156","SRR9016156","HUVEC","IR","Senescent","2","IR",0.860929297449097,"SRR9016156"
