"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","ID","Description","p.adjust","setSize"
"GO:0006338",1e-10,1.20166666666667e-08,NA,-0.472872319401295,-2.34150252582696,302,"EZH2;SLFN11;SFPQ;BUB1;BARD1;FBL;PAXIP1;HMGB2;DEK;CDK1;BRCA2;GTF3C4;PSIP1;HELLS;JADE1;NSD2;RBBP4;AURKA;HR;BRCA1;HASPIN;DYRK1A;CHEK1;SUV39H2;VRK1;NSD1;BAZ1B;ING3;KDM8;HMGB1;TET1;SMARCB1;CHD3;MECOM;RPSA;ARID1B;KDM2B;SMARCD1;PBRM1;RBBP7;HDAC4;PHF2;PRMT3;ACTR5;PRKCA;CHD4;CDK2;YEATS4;KMT5A;JARID2;INO80;ARID2;RNF2;CHD1;DCAF1;SMARCE1;SETMAR;HDAC2;ACTL6A;CFDP1;TTF1;TAF1;BCL7A;KDM5A;SMARCC1;NPM1;TADA2A;KDM4D;CHD1L;SMARCAD1;MCRS1;BRD4;USP16;SMARCA2;PCGF6;CHTOP;BRD3;PRKAA2;SMYD2;BRD9;PRDM8;SETD4;HDAC1;RUVBL1;DDX21;BAZ1A;SF3B1;BRD7;MTA2;YEATS2;PRDM6;CBX3;FOXP3;USP10;HDGF;ARID1A;MYO1C;PRMT6;PHC1;SUDS3;INO80C;BRPF1;CREBBP;NPM3;JDP2","GO:0006338","chromatin remodeling",1.20166666666667e-08,302
"GO:0006397",1e-10,1.20166666666667e-08,NA,-0.475238428550868,-2.40922967469797,392,"ZCCHC8;SFPQ;BUD13;CSDC2;HNRNPH1;U2AF1;RBMX;DHX9;HNRNPF;TRA2B;SART3;HNRNPU;CPSF6;TSEN15;HNRNPM;SYNCRIP;SF3A3;THRAP3;HNRNPK;HNRNPR;TCERG1;SF3B3;RBMXL1;THOC1;SRSF3;LSM2;RBM23;SRSF1;PRPF38A;ADARB1;DHX15;GEMIN2;DDX46;QKI;LSM6;PUS7;SRSF7;APOBEC2;MBNL3;KHDRBS1;SNRPF;TTF2;NCBP3;AFF2;SNRPA;RBM28;THOC6;FMR1;DHX8;CCAR2;SNRNP40;ERN2;DDX39A;HNRNPA3;PAPOLB;HNRNPA1;PTBP2;NRDE2;DCPS;SNRPD1;HNRNPA2B1;ZNF326;YBX1;TENT4A;SNRPE;SFSWAP;THOC5;PPIH;SNRNP200;YJU2;RBM17;PRPF31;NONO;RBM39;RBM15B;SRSF10;LSM8;AQR;MTPAP;GEMIN5;CNOT6L;ISY1;CDK13;MAGOHB;FRG1;CWC22;CELF2;CWC25;ZNF830;RBFOX2;CPSF7;RBM25;CSTF2;PPIL2;SRSF6;RPUSD4;CDC5L;THOC2;GCFC2;SF3B1;PRPF19;PCIF1;SRSF11;SREK1;PPWD1;SRSF4;SLBP;SNRNP35;TSEN2;PCF11;TIA1;SNRPB2;ZC3H13;CSTF1;NUDT21;CPSF2;DBR1;DHX35;RSRC1;PNPT1;ACIN1;ALYREF;LUC7L3;PPIL1;PLRG1;CPSF4L;ESRP2;SRRM1;RBFOX1;CLASRP;SRSF2;CHD8;PRPF38B;PRPF18;PRPF39;NCBP1;SMU1;GPKOW;PPARGC1A;DDX17;YTHDC1;CELF1;SNRPG;CELF3;RBM10;PNN;PAN2;USP39;GPATCH1;VIRMA;WDR33;HNRNPA0;CRNKL1;PAN3;SMNDC1;MTREX;LARP7","GO:0006397","mRNA processing",1.20166666666667e-08,392
"GO:0006955",1e-10,1.20166666666667e-08,NA,0.5187099493194,2.34611770396885,330,"TNFSF13B;IFI6;TNFSF18;GPR65;TNFSF9;ACKR4;CCL2;HLA-E;IFI44L;CCL26;CXCL11;ACKR3;TENM1;CXCL10;MR1;FAS;HLA-C;SLPI;RGS1;IL12A;CXCL14;C3;MILR1;AFP;RAG1;FCGR1A;CXCL6;CCL13;ACKR2;C7;IL24;ULBP2;CCL5;RAET1L;C9;CXCL1;CCL7;JCHAIN;TRIM22;ICAM1;CD28;CMKLR1;MICA;TNFAIP1;TREM2;IL6;CXCL8;LRG1;CXCL5;TLR5;SEMA7A;CTSS;BMP6;IFI44;TNFSF10;PKHD1L1;CCL25;FCRLA;CST3;CCR1;CXCL3;HLA-B;RAET1G;PXDN;FTH1;CD1D;ADGRE5;TREM1;MADCAM1;B2M;LTBR;CCL20;CD58;ITGB6;TNFSF15;CCR7;HLA-DOB;CCRL2;ULBP1;IGHA1;LIF;VPREB3;HLA-DMB;CCL8;HLA-A;VTN;SLAMF7;C6;CXCL2;SAMHD1;PIK3CG;STAT4;OSM;CSF2;FYB1;SEMA3C;IGHA2;HLA-G;IGLV1-50;IL18;EDA;STXBP3;LTB4R;WAS;IL1RAP;PIK3R3;CCL28;FCGRT;CLEC10A;IL15;PF4;XCR1;CSF3;LYST;IFITM3;CXCR4","GO:0006955","immune response",1.20166666666667e-08,330
"GO:0007052",1e-10,1.20166666666667e-08,NA,-0.698910843007804,-2.6664440447621,58,"GPSM2;KIF4A;NDC80;DLGAP5;CENPE;SPC25;KIF11;NUF2;PLK1;TTK;BIRC5;STIL;AURKB;TACC3;CCNB1;PCNT;AURKA;CENPH;POC1A;WDR62;STMN1;CKAP5;CCDC66;RCC1","GO:0007052","mitotic spindle organization",1.20166666666667e-08,58
"GO:0007059",1e-10,1.20166666666667e-08,NA,-0.749921199195489,-3.21259882697177,107,"CENPF;SKA3;MKI67;TOP2A;NDC80;SGO1;NEK2;SKA1;BUB1;HJURP;DLGAP5;CENPE;SPAG5;SPC25;CDCA2;NUF2;ESCO2;TTK;KIF2C;CENPU;BIRC5;KNL1;CENPI;CENPM;OIP5;CENPP;BRCA1;SPC24;PTTG1;CENPW;CENPH;CENPK;DIAPH3;KNSTRN;SGO2;ESPL1;MIS18A;CENPN;RAD21;NDE1;CDK5RAP2;SEH1L;CENPO;ITGB3BP;CENPQ;CENPC;CTCF;RPS3;STAG1;INCENP;CEP85;SMC5;RCC1;NUMA1;SKA2;CENPL;MTCL1;BUB3;MMS19;PMF1","GO:0007059","chromosome segregation",1.20166666666667e-08,107
"GO:0007094",1e-10,1.20166666666667e-08,NA,-0.841128133485177,-2.81268946601188,30,"CENPF;BUB1B;NDC80;BUB1;SPC25;NUF2;PLK1;TTK;BIRC5;CDC20;TRIP13;KNTC1;HASPIN;SPC24;ZWINT;MAD2L1;ZWILCH;SPDL1;ZW10;BUB3","GO:0007094","mitotic spindle assembly checkpoint signaling",1.20166666666667e-08,30
"GO:0008380",1e-10,1.20166666666667e-08,NA,-0.504378486555058,-2.49191844658092,306,"ZCCHC8;SFPQ;BUD13;HNRNPH1;U2AF1;RBMX;DHX9;HNRNPF;TRA2B;SART3;HNRNPU;HNRNPM;SYNCRIP;SF3A3;THRAP3;HNRNPK;HNRNPR;TCERG1;SF3B3;RBMXL1;THOC1;SRSF3;LSM2;RBM23;SRSF1;PRPF38A;DHX15;GEMIN2;DDX46;QKI;LSM6;PUS7;SRSF7;MBNL3;SNRPF;TTF2;AFF2;SNRPA;RBM28;THOC6;FMR1;DHX8;CCAR2;SNRNP40;DDX39A;HNRNPA3;HNRNPA1;PTBP2;NRDE2;FUS;DCPS;SNRPD1;HNRNPA2B1;ZNF326;YBX1;SNRPE;SFSWAP;THOC5;PPIH;SNRNP200;YJU2;RBM17;PRPF31;NONO;RBM39;RBM15B;SRSF10;LSM8;AQR;GEMIN5;ISY1;CDK13;MAGOHB;FRG1;CWC22;CWC25;ZNF830;RBFOX2;RBM25;PPIL2;SRSF6;RPUSD4;CDC5L;THOC2;GCFC2;SF3B1;PRPF19;SRSF11;SREK1;PPWD1;SRSF4;SNRNP35;TIA1;SNRPB2;ZC3H13;DHX35;RSRC1;ACIN1;ALYREF;LUC7L3;PPIL1;PLRG1;ESRP2;SRRM1;RBFOX1;CLASRP;SRSF2;PRPF38B;PRPF18;PRPF39;NCBP1;SMU1;GPKOW;PPARGC1A;DDX17;YTHDC1;CELF1;SNRPG;CELF3","GO:0008380","RNA splicing",1.20166666666667e-08,306
"GO:0031507",1e-10,1.20166666666667e-08,NA,-0.685604352432495,-2.68148511929075,65,"EZH2;H2AC16;LMNB1;H2AZ2;H2AC13;H2AC11;H2AC20;H2AC8;H2AC21;UHRF1;HELLS;H2AC4;H2AC12;CDKN2B-AS1;HMGB1;H2AZ1;CBX5;MIS18A;H2AX;DNMT3A;SIRT1;SUV39H1;H1-0;MACROH2A2;LMNB2;SCMH1;HDAC2;H2AC19;H2AC18","GO:0031507","heterochromatin formation",1.20166666666667e-08,65
"GO:0032200",1e-10,1.20166666666667e-08,NA,-0.908537397183034,-2.88150427735992,26,"H3C2;H3C12;H3C11;H3C3;H3C6;RAD51;H4C5;H3C10;H4C1;H3C1;H3C8;H4C13;H4C2;H4C4;H4C3;H4C15;H4C14;H3C7;H4C6;H3-3B;H4C12;H4C11","GO:0032200","telomere organization",1.20166666666667e-08,26
"GO:0036297",1e-10,1.20166666666667e-08,NA,-0.758856215298519,-2.66914398098876,38,"FANCD2;BRIP1;RAD51D;FANCG;FANCA;RAD51AP1;RNF168;NEIL3;FANCI;RAD51;NUCKS1;RFWD3;FANCC;FANCE;FAAP24;DCLRE1C;FANCF;FANCB;DCLRE1B;HROB","GO:0036297","interstrand cross-link repair",1.20166666666667e-08,38
