"","HAEC_IR","HUVEC_IR","IMR90_IR","IMR90_RE","WI38_Dox","WI38_HRAS","WI38_IR","WI38_RE"
"DPM1",1,1,0,0,0,0,0,0
"C1orf112",1,1,0,0,0,1,1,0
"NFYA",1,1,1,1,0,0,0,0
"STPG1",1,0,0,0,0,0,0,0
"LAS1L",1,1,0,0,0,0,0,0
