"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0055074","GO:0055074","calcium ion homeostasis",300,0.505951094055987,1.50878898233911,0.000660054413128108,0.00761572287694769,0.00568780128663124,5100,"tags=30%, list=14%, signal=26%","ENSG00000169248/ENSG00000072954/ENSG00000169245/ENSG00000198947/ENSG00000123104/ENSG00000152154/ENSG00000137824/ENSG00000167323/ENSG00000181374/ENSG00000254087/ENSG00000123191/ENSG00000049860/ENSG00000109501/ENSG00000271503/ENSG00000114805/ENSG00000150995/ENSG00000108688/ENSG00000138685/ENSG00000140464/ENSG00000198959/ENSG00000143183/ENSG00000110680/ENSG00000101017/ENSG00000069018/ENSG00000168959/ENSG00000090674/ENSG00000163273/ENSG00000163823/ENSG00000078401/ENSG00000121940/ENSG00000140939/ENSG00000198363/ENSG00000118972/ENSG00000135318/ENSG00000170385/ENSG00000100678/ENSG00000113739/ENSG00000151320/ENSG00000159363/ENSG00000081237/ENSG00000100739/ENSG00000175868/ENSG00000127249/ENSG00000139644/ENSG00000178719/ENSG00000072062/ENSG00000144481/ENSG00000101188/ENSG00000187672/ENSG00000126353/ENSG00000122585/ENSG00000143028/ENSG00000148834/ENSG00000133116/ENSG00000086300/ENSG00000154122/ENSG00000171316/ENSG00000144935/ENSG00000017260/ENSG00000182389/ENSG00000064270/ENSG00000047597/ENSG00000124827/ENSG00000143933/ENSG00000163485/ENSG00000108700/ENSG00000133657/ENSG00000130703/ENSG00000137841/ENSG00000095209/ENSG00000140090/ENSG00000159167/ENSG00000197386/ENSG00000106400/ENSG00000155886/ENSG00000092051/ENSG00000156642/ENSG00000104321/ENSG00000118432/ENSG00000153291/ENSG00000173578/ENSG00000184304/ENSG00000154096/ENSG00000105726/ENSG00000185245/ENSG00000176171/ENSG00000259207/ENSG00000152822/ENSG00000130528"
"GO:0008016","GO:0008016","regulation of heart contraction",198,0.551926569419878,1.56773692100997,0.000661512899993832,0.00761806791283219,0.00568955267626773,5957,"tags=30%, list=17%, signal=25%","ENSG00000092969/ENSG00000143199/ENSG00000072954/ENSG00000198947/ENSG00000106688/ENSG00000173826/ENSG00000134548/ENSG00000171385/ENSG00000135679/ENSG00000057294/ENSG00000184185/ENSG00000154639/ENSG00000101665/ENSG00000177098/ENSG00000134716/ENSG00000078401/ENSG00000090020/ENSG00000265107/ENSG00000198363/ENSG00000100678/ENSG00000006283/ENSG00000080709/ENSG00000183230/ENSG00000148926/ENSG00000153956/ENSG00000072062/ENSG00000046604/ENSG00000006128/ENSG00000198929/ENSG00000148834/ENSG00000144935/ENSG00000143933/ENSG00000113070/ENSG00000112276/ENSG00000163485/ENSG00000163217/ENSG00000166257/ENSG00000105851/ENSG00000116783/ENSG00000095209/ENSG00000131979/ENSG00000159167/ENSG00000198336/ENSG00000121577/ENSG00000092051/ENSG00000130529/ENSG00000171298/ENSG00000163874/ENSG00000183153/ENSG00000196396/ENSG00000130528/ENSG00000166148/ENSG00000116016/ENSG00000067842/ENSG00000152642/ENSG00000149295/ENSG00000088832/ENSG00000154118/ENSG00000183072/ENSG00000058668"
"GO:0002673","GO:0002673","regulation of acute inflammatory response",38,0.76509559046503,1.74901628166216,0.000670806326252407,0.0077104613523217,0.00575855670024494,4080,"tags=37%, list=11%, signal=33%","ENSG00000204592/ENSG00000125730/ENSG00000150337/ENSG00000136244/ENSG00000050628/ENSG00000145623/ENSG00000006128/ENSG00000126353/ENSG00000162711/ENSG00000122585/ENSG00000163485/ENSG00000105851/ENSG00000099985/ENSG00000073756"
"GO:0002686","GO:0002686","negative regulation of leukocyte migration",50,0.726140796404454,1.7409551191136,0.000712731313663203,0.00817687399361432,0.00610689689908218,4533,"tags=32%, list=13%, signal=28%","ENSG00000108691/ENSG00000137033/ENSG00000130513/ENSG00000163606/ENSG00000091972/ENSG00000131142/ENSG00000189058/ENSG00000110848/ENSG00000134830/ENSG00000174500/ENSG00000163485/ENSG00000137869/ENSG00000197635/ENSG00000271447/ENSG00000111863/ENSG00000151882"
"GO:0030516","GO:0030516","regulation of axon extension",80,0.671654830649667,1.72406173201628,0.000717329231125813,0.00819862731394078,0.00612314336252899,3245,"tags=22%, list=9%, signal=21%","ENSG00000143199/ENSG00000130558/ENSG00000115310/ENSG00000130827/ENSG00000162490/ENSG00000078018/ENSG00000198910/ENSG00000138623/ENSG00000091129/ENSG00000187688/ENSG00000135622/ENSG00000087250/ENSG00000065320/ENSG00000006837/ENSG00000039068/ENSG00000155256/ENSG00000127603/ENSG00000137872"
"GO:0050863","GO:0050863","regulation of T cell activation",346,0.491031948693163,1.47747432416882,0.000716625704859999,0.00819862731394078,0.00612314336252899,4822,"tags=23%, list=13%, signal=20%","ENSG00000102524/ENSG00000105246/ENSG00000003137/ENSG00000120337/ENSG00000140030/ENSG00000112299/ENSG00000125657/ENSG00000108691/ENSG00000204592/ENSG00000168811/ENSG00000166349/ENSG00000272398/ENSG00000162692/ENSG00000254087/ENSG00000160223/ENSG00000271503/ENSG00000183668/ENSG00000178562/ENSG00000125347/ENSG00000136244/ENSG00000101665/ENSG00000147889/ENSG00000015475/ENSG00000144802/ENSG00000110651/ENSG00000131203/ENSG00000131507/ENSG00000171867/ENSG00000124508/ENSG00000186265/ENSG00000158473/ENSG00000090776/ENSG00000166710/ENSG00000081237/ENSG00000107099/ENSG00000057657/ENSG00000104853/ENSG00000110848/ENSG00000126353/ENSG00000162711/ENSG00000241106/ENSG00000116833/ENSG00000163513/ENSG00000179388/ENSG00000198053/ENSG00000104312/ENSG00000115457/ENSG00000134242/ENSG00000108861/ENSG00000242574/ENSG00000137265/ENSG00000010704/ENSG00000083799/ENSG00000206503/ENSG00000109906/ENSG00000135144/ENSG00000197635/ENSG00000177885/ENSG00000160685/ENSG00000154447/ENSG00000167815/ENSG00000112679/ENSG00000204632/ENSG00000106400/ENSG00000150782/ENSG00000017427/ENSG00000146072/ENSG00000103855/ENSG00000158092/ENSG00000108773/ENSG00000196776/ENSG00000105639/ENSG00000127951/ENSG00000125266/ENSG00000164136/ENSG00000117335/ENSG00000170027/ENSG00000135046/ENSG00000154096"
"GO:0006911","GO:0006911","phagocytosis, engulfment",44,0.745241160979894,1.76302481913346,0.000723623335100275,0.00822410116240369,0.0061421685017579,3083,"tags=27%, list=9%, signal=25%","ENSG00000135218/ENSG00000125730/ENSG00000150337/ENSG00000064687/ENSG00000095970/ENSG00000165029/ENSG00000181790/ENSG00000145794/ENSG00000164171/ENSG00000169896/ENSG00000109572/ENSG00000113249"
"GO:0002708","GO:0002708","positive regulation of lymphocyte mediated immunity",118,0.601739085355457,1.6183281252927,0.000721953668266919,0.00822410116240369,0.0061421685017579,2524,"tags=24%, list=7%, signal=22%","ENSG00000204592/ENSG00000153029/ENSG00000134321/ENSG00000204525/ENSG00000168811/ENSG00000125730/ENSG00000150337/ENSG00000131015/ENSG00000155918/ENSG00000134539/ENSG00000178562/ENSG00000073008/ENSG00000095970/ENSG00000136244/ENSG00000101017/ENSG00000234745/ENSG00000110651/ENSG00000203722/ENSG00000204267/ENSG00000158473/ENSG00000166710/ENSG00000130202/ENSG00000081237/ENSG00000162711/ENSG00000110169/ENSG00000185896/ENSG00000111981/ENSG00000134545"
"GO:0045088","GO:0045088","regulation of innate immune response",460,0.47686281239564,1.45767569381178,0.00072229763923215,0.00822410116240369,0.0061421685017579,3117,"tags=16%, list=9%, signal=15%","ENSG00000135114/ENSG00000030582/ENSG00000170458/ENSG00000204592/ENSG00000187608/ENSG00000115310/ENSG00000134321/ENSG00000143217/ENSG00000204525/ENSG00000168811/ENSG00000135218/ENSG00000089127/ENSG00000262406/ENSG00000074966/ENSG00000154589/ENSG00000125734/ENSG00000254087/ENSG00000271503/ENSG00000134539/ENSG00000007047/ENSG00000091106/ENSG00000125347/ENSG00000204520/ENSG00000183607/ENSG00000073008/ENSG00000095970/ENSG00000156599/ENSG00000079385/ENSG00000000971/ENSG00000099337/ENSG00000187554/ENSG00000134070/ENSG00000163131/ENSG00000090674/ENSG00000179630/ENSG00000144802/ENSG00000129988/ENSG00000145901/ENSG00000234745/ENSG00000203722/ENSG00000155629/ENSG00000205213/ENSG00000184374/ENSG00000124201/ENSG00000154451/ENSG00000158473/ENSG00000120925/ENSG00000131669/ENSG00000137628/ENSG00000130202/ENSG00000110042/ENSG00000168918/ENSG00000115267/ENSG00000162711/ENSG00000110169/ENSG00000111331/ENSG00000185896/ENSG00000160703/ENSG00000159714/ENSG00000104312/ENSG00000107201/ENSG00000134242/ENSG00000012504/ENSG00000134545/ENSG00000143353/ENSG00000164342/ENSG00000204618/ENSG00000137265/ENSG00000023445/ENSG00000185386/ENSG00000152223/ENSG00000083799/ENSG00000206503/ENSG00000034152"
"GO:0007042","GO:0007042","lysosomal lumen acidification",26,0.806964808620695,1.74290794542958,0.000726913677225092,0.0082460544057553,0.00615856427768076,2877,"tags=46%, list=8%, signal=42%","ENSG00000030582/ENSG00000182220/ENSG00000047249/ENSG00000071553/ENSG00000033627/ENSG00000128524/ENSG00000114573/ENSG00000185896/ENSG00000117410/ENSG00000219200/ENSG00000116857/ENSG00000185883"
